cost        CG2        HBCS        ScaleStar        OPT
1        226.2        226.2        226.2        226.2
2        187.52        206.22        206.22        187.52
3        163.73        194.33        163.73        163.73
4        143.75        151.83        143.75        143.75
5        131.85        131.85        131.85        131.85
6        121.86        121.86        121.86        121.86
7        112.51        120.59        117.9        112.51
8        100.61        100.61        100.61        100.61
9        90.62        90.62        90.62        90.62
10        87.3        110.18        87.3        87.3
11        83.33        90.2        83.33        83.33
12        80.21        80.21        83.33        80.21
13        76.88        76.88        83.33        76.88
14        72.92        84.99        72.92        72.92
15        72.92        84.99        72.92        72.92
16        70.93        71.68        72.92        70.93
17        69.27        71.68        72.92        69.27
18        67.71        70.01        72.92        67.71
19        65.73        70.01        72.92        65.73
20        64.06        64.06        72.92        64.06
