cost        CG2        HBCS        ScaleStar        OPT
1        997.9        997.9        997.9        997.9
2        849.58        849.58        849.58        849.58
3        674.47        674.47        674.47        674.47
4        674.47        873.38        674.47        674.47
5        586.92        698.28        586.92        586.92
6        574.6        574.6        574.6        574.6
7        512.76        610.72        512.76        512.76
8        487.05        487.05        487.05        487.05
9        425.21        581.54        425.21        425.21
10        404.6        457.87        404.6        404.6
11        391.92        396.03        391.92        391.92
12        391.92        396.03        391.92        391.92
13        362.74        375.42        362.74        362.74
14        362.74        365.11        362.74        360.83
15        342.12        365.11        342.12        342.12
16        331.82        331.82        342.12        331.82
17        325.48        331.82        342.12        325.48
18        325.48        331.82        342.12        317.23
19        310.89        331.82        342.12        310.89
20        300.58        300.58        342.12        300.58
