cost        CG2        HBCS        ScaleStar        OPT
1        694.78        721.55        721.55        694.78
2        566.42        566.42        566.42        566.42
3        442.75        442.75        442.75        442.75
4        418.52        418.52        418.52        418.52
5        405.14        418.52        410.45        405.14
6        372.84        416.19        372.84        372.84
7        340.96        391.96        340.96        340.96
8        303.35        316.74        316.74        303.35
9        279.12        430.71        279.12        279.12
10        266.59        307.03        271.05        266.59
11        258.51        282.81        258.51        258.51
12        254.48        282.81        258.51        254.48
13        237.12        245.2        237.12        237.12
14        232.66        232.66        237.12        232.66
15        224.58        224.58        224.58        224.58
16        218.31        218.31        224.58        218.31
17        214.28        218.31        224.58        214.28
18        207.62        218.31        224.58        207.62
19        203.58        218.31        224.58        203.58
20        197.31        197.31        224.58        197.31
