cost        CG2        HBCS        ScaleStar        OPT
1        578.75        578.75        578.75        578.75
2        473.35        541.78        541.78        473.35
3        384.1        534.12        384.1        384.1
4        367.67        497.15        367.67        367.67
5        339.48        339.48        339.48        339.48
6        323.04        323.04        323.04        323.04
7        286.78        320.99        323.04        286.78
8        280.61        279.12        308.17        279.12
9        242.15        242.15        242.15        242.15
10        235.99        235.99        238.04        235.99
11        223.17        235.99        223.17        223.17
12        221.11        226.14        223.17        221.11
13        209.71        209.71        223.17        209.71
14        198.94        207.65        198.94        198.94
15        192.78        236.62        194.83        192.78
16        192.78        195.54        194.83        191.5
17        185.34        193.49        194.83        185.34
18        180.67        193.49        194.83        180.67
19        178.61        193.49        194.83        178.61
20        171.18        171.18        194.83        171.18
