cost        CG2        HBCS        ScaleStar        OPT
1        401.62        401.62        401.62        401.62
2        320.88        381.44        334.9        320.88
3        254.15        314.71        254.15        254.15
4        254.15        314.71        254.15        254.15
5        220.79        281.35        233.96        220.79
6        213.78        281.35        227.23        213.78
7        193.59        200.6        200.6        193.59
8        180.41        200.6        193.87        180.41
9        160.22        160.22        160.22        160.22
10        153.5        160.22        153.5        153.5
11        146.77        149.1        153.5        146.77
12        146.77        149.1        142.38        142.38
13        135.65        135.65        142.38        135.65
14        136.81        135.65        142.38        135.65
15        128.92        135.65        128.92        128.92
16        125.55        128.92        128.92        125.55
17        122.19        128.92        128.92        122.19
18        118.82        128.92        128.92        118.82
19        116.63        128.92        128.92        116.63
20        113.26        113.26        128.92        113.26
