cost        CG2        HBCS        ScaleStar        OPT
1        852.45        911.1        911.1        852.45
2        708.38        871.15        708.38        708.38
3        569.82        732.6        569.82        569.82
4        529.88        529.88        529.88        529.88
5        500.55        529.88        529.88        500.55
6        468.46        567.06        460.6        460.6
7        428.51        428.51        428.51        428.51
8        399.19        428.51        415.2        399.19
9        359.24        533.28        359.24        359.24
10        345.92        394.72        345.92        345.92
11        336.15        394.72        345.92        336.15
12        325.45        325.45        322.83        322.83
13        312.13        325.45        312.13        312.13
14        305.48        302.36        312.13        302.36
15        289.04        302.36        289.04        289.04
16        282.38        290.81        289.04        282.38
17        277.5        290.81        289.04        277.5
18        272.15        290.81        289.04        270.84
19        260.6        290.81        289.04        260.6
20        253.94        253.94        289.04        253.94
