cost        CG2        HBCS        ScaleStar        OPT
1        473.59        478.05        473.59        473.59
2        350.12        406.22        401.76        350.12
3        278.3        403.25        278.3        278.3
4        273.84        367.34        273.84        273.84
5        242.39        367.34        273.84        242.39
6        237.92        239.41        237.92        237.92
7        210.37        239.41        237.92        210.37
8        209.88        239.41        225.95        209.88
9        174.46        175.45        175.45        174.46
10        173.96        175.45        173.96        173.96
11        161.99        175.45        161.99        161.99
12        161.99        175.45        161.99        157.1
13        152.64        154.13        161.99        152.64
14        152.64        154.13        161.99        145.13
15        140.67        154.13        140.67        140.67
16        140.67        143.47        140.67        139.15
17        134.69        142.16        140.67        134.69
18        130.51        131.5        140.67        130.51
19        130.01        131.5        140.67        130.01
20        124.02        124.02        140.67        124.02
