cost        CG2        HBCS        ScaleStar        OPT
1        925.98        925.98        925.98        925.98
2        759.38        759.38        759.38        759.38
3        618.7        618.7        618.7        618.7
4        618.7        826.1        618.7        618.7
5        535.4        535.4        535.4        535.4
6        535.4        601.06        535.4        535.4
7        460.39        460.39        460.39        460.39
8        460.39        460.39        460.39        460.39
9        390.05        435.38        390.05        390.05
10        390.05        435.38        390.05        390.05
11        362.28        365.05        362.28        362.28
12        362.28        365.05        362.28        362.28
13        337.28        341.6        337.28        337.28
14        337.28        329.88        337.28        329.88
15        313.83        329.88        313.83        313.83
16        313.83        329.88        313.83        302.11
17        299.95        302.11        313.83        299.95
18        299.95        302.11        313.83        289.61
19        287.45        302.11        313.83        287.45
20        275.72        275.72        313.83        275.72
