cost        CG2        HBCS        ScaleStar        OPT
1        952.89        952.89        952.89        952.89
2        769.5        788.62        788.62        769.5
3        584.2        767.59        584.2        584.2
4        556.15        695.98        556.15        556.15
5        552.64        674.94        556.15        552.64
6        481.99        470.51        470.51        470.51
7        453.94        470.51        463.5        453.94
8        450.43        470.51        463.5        431.41
9        368.3        368.3        368.3        368.3
10        357.78        368.3        361.29        357.78
11        357.78        368.3        361.29        355.27
12        327.22        334.23        330.4        327.22
13        323.71        334.23        330.4        323.71
14        323.71        303.35        330.4        303.35
15        292.83        303.35        296.33        292.83
16        292.83        303.35        296.33        292.83
17        279.3        286.31        296.33        279.3
18        275.79        286.31        296.33        275.79
19        275.79        286.31        296.33        270.87
20        260.35        260.35        296.33        260.35
