cost        CG2        HBCS        ScaleStar        OPT
1        727.4        727.4        727.4        727.4
2        588.42        588.42        588.42        588.42
3        465.18        465.18        465.18        465.18
4        465.18        600.54        465.18        465.18
5        403.55        518.94        424.38        403.55
6        395.69        478.14        395.69        395.69
7        354.89        354.89        354.89        354.89
8        334.06        354.89        341.29        334.06
9        293.26        293.26        293.26        293.26
10        279.66        293.26        279.66        279.66
11        270.1        272.72        270.1        270.1
12        270.1        259.12        270.1        259.12
13        249.56        259.12        256.5        249.56
14        249.7        248.85        256.5        248.85
15        235.96        248.85        235.96        235.96
16        229.16        235.96        235.96        229.16
17        224.38        225.69        235.96        224.38
18        217.58        225.69        235.96        217.58
19        214.11        225.69        235.96        214.11
20        207.31        207.31        235.96        207.31
