cost        CG2        HBCS        ScaleStar        OPT
1        311.5        322.98        322.98        311.5
2        277.08        307.46        280.48        277.08
3        203.55        264.96        203.55        203.55
4        203.55        230.54        203.55        203.55
5        182.3        188.04        188.04        182.3
6        165.09        166.79        166.79        165.09
7        165.09        192.08        166.79        165.09
8        143.84        149.58        149.58        143.84
9        128.33        128.33        128.33        128.33
10        123.15        136.75        123.15        123.15
11        121.24        136.75        123.15        120.57
12        115.5        115.5        116.07        115.5
13        110.33        115.5        110.33        110.33
14        108.42        108.42        110.33        107.75
15        103.25        104.88        103.25        103.25
16        99.71        104.88        103.25        99.71
17        97.12        104.88        103.25        97.12
18        96.84        104.88        103.25        96.84
19        93.3        104.88        103.25        93.3
20        90.71        90.71        103.25        90.71
