cost        CG2        HBCS        ScaleStar        OPT
1        892.38        894.61        894.61        892.38
2        690.82        719.94        719.94        690.82
3        522.1        719.94        522.1        522.1
4        515.41        517.64        517.64        515.41
5        515.41        632.6        517.64        515.41
6        420.95        430.3        430.3        420.95
7        414.26        430.3        430.3        414.26
8        414.26        430.3        430.3        414.26
9        326.92        329.15        329.15        326.92
10        326.92        329.15        329.15        326.92
11        326.92        329.15        329.15        304.5
12        293.2        300.04        300.04        293.2
13        293.2        300.04        300.04        293.2
14        293.2        300.04        300.04        270.78
15        264.09        266.32        266.32        264.09
16        264.09        266.32        266.32        264.09
17        250.28        266.32        266.32        250.28
18        247.23        249.46        266.32        247.23
19        247.23        249.46        266.32        247.23
20        232.67        232.67        266.32        232.67
