cost        CG2        HBCS        ScaleStar        OPT
1        1026.72        1042.45        1042.45        1026.72
2        844.4        860.12        860.12        844.4
3        688.85        688.85        688.85        688.85
4        688.85        768.96        688.85        688.85
5        597.69        597.69        597.69        597.69
6        597.69        691.19        597.69        597.69
7        512.05        519.91        519.91        512.05
8        512.05        519.91        519.91        512.05
9        434.28        434.28        434.28        434.28
10        434.28        493.99        434.28        434.28
11        403.89        408.35        403.89        403.89
12        403.89        408.35        403.89        403.89
13        375.34        379.8        377.96        375.34
14        375.34        379.8        377.96        366.84
15        349.42        365.53        349.42        349.42
16        349.42        365.53        349.42        349.42
17        334.22        365.53        349.42        334.22
18        334.22        365.53        349.42        334.22
19        319.95        335.14        349.42        319.95
20        306.99        306.99        349.42        306.99
