cost        CG2        HBCS        ScaleStar        OPT
1        780.81        780.81        780.81        780.81
2        634.4        780.81        634.4        634.4
3        480.12        616.34        480.12        480.12
4        462.06        462.06        462.06        462.06
5        453.03        534.1        456.04        453.03
6        397.89        534.1        384.92        384.92
7        373.8        379.83        373.8        373.8
8        320.75        506.69        373.8        320.75
9        302.69        352.41        302.69        302.69
10        293.66        352.41        296.67        293.66
11        276.98        352.41        296.67        276.98
12        269.25        275.28        269.25        269.25
13        266.24        275.28        269.25        266.24
14        249.56        249.56        269.25        249.56
15        240.53        249.56        243.54        240.53
16        240.53        249.56        243.54        240.53
17        229.84        236.71        243.54        229.84
18        226.83        236.71        243.54        226.83
19        226.83        236.71        243.54        223
20        213.97        213.97        243.54        213.97
