cost        CG2        HBCS        ScaleStar        OPT
1        532.69        551.18        551.18        497.62
2        373.31        502.72        374.8        373.31
3        342.08        326.35        342.08        326.35
4        315.87        331.88        295.11        286.61
5        267.42        278.96        269.4        241.14
6        236.18        253.25        236.68        227.75
7        218.19        234.27        222.01        215.73
8        206.78        287.25        210.11        201.24
9        192.62        223.29        192.62        190.63
10        185.63        181.64        191.13        181.64
11        181.14        176.43        191.13        175.05
12        173.07        173.31        191.13        168.06
13        167.86        171.22        191.13        163.51
14        162.66        171.22        191.13        159.54
15        159.04        171.22        191.13        155.19
16        154.39        165.53        191.13        152.31
17        152.11        165.53        191.13        149.38
18        150.4        165.53        191.13        147.17
19        147.37        165.53        191.13        145.09
20        145.09        145.09        191.13        145.09
