cost        CG2        HBCS        ScaleStar        OPT
1        683.62        776.94        822.62        671.32
2        525.55        631.16        525.55        525.55
3        452.66        631.16        449.69        449.69
4        399.94        631.16        449.69        394.15
5        354.46        558.28        376.8        346.27
6        321.27        533.98        321.27        321.27
7        296.97        433.4        306.04        296.97
8        276.64        327.22        306.04        276.64
9        276.64        281.74        281.74        258.54
10        258.97        259        266.58        246.36
11        246.82        246.86        266.58        234.67
12        234.21        239.28        266.58        226.24
13        234.21        234.25        266.58        223.19
14        226.92        234.25        266.58        217.81
15        222.06        234.25        266.58        211.74
16        212.95        234.25        266.58        206.89
17        212.78        234.25        266.58        201.84
18        206.89        231.23        266.58        201.84
19        203.85        231.23        266.58        201.84
20        201.84        201.84        266.58        201.84
