cost        CG2        HBCS        ScaleStar        OPT
1        1086.58        1080.62        1080.62        1071.7
2        791.2        998.6        791.2        791.2
3        709.18        809.26        709.18        706.41
4        620.99        624.39        624.39        620.99
5        538.96        575.3        543.42        538.96
6        483.92        547.96        485.41        483.92
7        456.94        508.22        458.07        456.94
8        438.1        542.54        434.7        434.7
9        410.47        484.53        409.83        409.83
10        389.65        393.15        401.33        389.65
11        377.21        377.21        401.33        375.98
12        363.54        368.71        401.33        363.54
13        350.05        364.25        401.33        350.05
14        342.59        364.25        401.33        342.59
15        334.39        364.25        401.33        334.11
16        328.92        354.24        401.33        325.91
17        320.38        351.27        401.33        320.26
18        314.99        351.27        401.33        314.92
19        309.52        351.27        401.33        309.34
20        303.87        303.87        401.33        303.87
