cost        CG2        HBCS        ScaleStar        OPT
1        1258.05        1253.38        1253.38        1230
2        908.28        1141.81        908.28        908.28
3        822.85        1042.36        820.51        820.51
4        721.06        721.06        721.06        721.06
5        642.86        701.94        647.54        642.86
6        573.04        658.66        581.45        573.04
7        539.88        706.82        552.2        534.91
8        510.63        536.61        519.05        501.76
9        472.51        472.51        472.51        472.51
10        453.21        454.48        472.51        453.21
11        439        456.66        472.51        437.91
12        422.04        433.55        472.51        422.04
13        408.69        428.88        472.51        408.69
14        399.68        428.88        472.51        399.68
15        389.97        412.3        472.51        389.97
16        382.61        412.3        472.51        382.61
17        376.01        412.3        472.51        373.44
18        369.38        412.3        472.51        366.68
19        363.52        412.3        472.51        360.85
20        354.22        354.22        472.51        354.22
