cost        CG2        HBCS        ScaleStar        OPT
1        601.84        532.24        527.04        526.72
2        371.27        532.24        371.27        371.27
3        347.38        369.68        333.87        333.34
4        315.08        335.46        333.87        297.51
5        310.83        423.86        279.68        272.88
6        234.95        369.68        235.48        234.17
7        209.75        351.61        209.75        207.96
8        207.62        219.01        223.01        199.9
9        207.62        208.39        204.95        195.15
10        182.53        195.92        190.22        182.53
11        177.73        178.26        190.22        174.42
12        168.29        178.26        190.22        167.93
13        167.06        169.4        190.22        165.26
14        161.64        166.45        190.22        161.02
15        153.69        166.45        190.22        153.69
16        152.81        163.31        190.22        150.98
17        150.98        163.31        190.22        150.32
18        147.13        163.31        190.22        147.13
19        144.42        163.31        190.22        144.42
20        144.42        144.42        190.22        144.42
