cost        CG2        HBCS        ScaleStar        OPT
1        832.92        839.88        878.88        720.24
2        551.21        669.88        551.21        551.21
3        526.54        644.97        500.49        472.37
4        451.31        649.79        500.49        421.65
5        400.6        574.35        415.49        387.37
6        337.86        562.33        337.86        337.86
7        331.82        398.63        336.65        315.19
8        305.54        319.8        311.58        302.05
9        305.54        293.52        308.32        286.52
10        274.5        280.84        282.04        273.38
11        261.37        280.94        282.04        261.36
12        248.23        273.06        282.04        248.23
13        247.19        260.58        282.04        240.35
14        238.69        254.56        282.04        234.01
15        230.81        254.56        282.04        228.75
16        228.02        254.56        282.04        224.47
17        224.47        254.56        282.04        219.21
18        221.34        240.39        282.04        216.42
19        213.79        240.39        282.04        213.79
20        213.55        213.55        282.04        213.55
