cost        CG2        HBCS        ScaleStar        OPT
1        1050.7        1060.48        1060.48        1050.7
2        788.9        965.91        788.9        788.9
3        689.45        904.71        694.34        689.45
4        628.25        633.14        633.14        594.89
5        533.69        601.62        596.8        533.69
6        485.24        574.84        497.35        476.95
7        452.09        481.77        465.83        443.8
8        432.68        448.62        433.32        412.28
9        400.17        412.28        412.28        394.11
10        389.97        395.7        400.17        377.54
11        373.39        385.76        400.17        361.78
12        357.63        367.59        400.17        351.58
13        351.58        361.53        400.17        345.46
14        341.63        361.53        400.17        335.51
15        332.17        354.9        400.17        326.05
16        325.54        354.9        400.17        318.34
17        320        354.9        400.17        313.37
18        313.37        354.9        400.17        307.06
19        307.06        354.9        400.17        302.98
20        302.98        302.98        400.17        302.98
