cost        CG2        HBCS        ScaleStar        OPT
1        985.95        1049.06        1049.06        985.95
2        708.21        976.81        708.21        708.21
3        638.51        659.34        656.58        638.51
4        567.54        566.26        566.26        566.26
5        501.59        543.03        537.36        497.84
6        443.08        523.55        443.08        443.08
7        420.28        425.09        425.87        419.85
8        397.04        405.61        402.64        392.3
9        369.06        369.06        369.06        369.06
10        356.56        361.27        369.06        356.55
11        343        344.48        369.06        343
12        331.38        338.31        369.06        331.27
13        319.66        335.49        369.06        319.66
14        312.69        327.7        369.06        312.43
15        304.42        327.7        369.06        304.42
16        297.45        316.08        369.06        297.45
17        292.07        316.08        369.06        291.95
18        286.73        316.08        369.06        286.13
19        282.08        316.08        369.06        281.91
20        276.48        316.08        369.06        277.26
