cost        CG2        HBCS        ScaleStar        OPT
1        891.23        892.25        892.25        874.4
2        644.62        645.75        645.75        644.62
3        571.8        649.36        571.8        571.8
4        506.56        720.41        506.56        506.56
5        454.64        500.9        455.78        454.64
6        399.58        447.98        400.6        399.58
7        376.51        422.77        377.65        375.38
8        352.43        352.43        352.43        352.43
9        335.43        396.84        336.56        335.43
10        319.92        321.05        328.98        319.92
11        308.8        312.5        328.98        308.44
12        297.32        303.68        328.98        297.32
13        288.25        296.1        328.98        288.25
14        280.69        296.1        328.98        280.69
15        274.34        295.08        328.98        273.77
16        266.88        291.91        328.98        266.88
17        262.98        291.91        328.98        262.98
18        258.39        276.64        328.98        257.94
19        253.35        276.64        328.98        253.35
20        248.66        248.66        328.98        248.66
