cost        CG2        HBCS        ScaleStar        OPT
1        1337.06        1342.02        1342.02        1337.06
2        935.43        1240.87        936.14        935.43
3        832.51        834.99        834.99        832.51
4        731.72        813.32        732.43        731.72
5        676.61        779.6        677.32        639.14
6        577.09        745.18        577.65        577.09
7        542.88        645.51        543.94        542.88
8        509.51        612.29        509.51        509.51
9        476.29        476.29        476.29        476.29
10        464.84        473.28        476.29        462.27
11        451.57        463.32        476.29        448.2
12        434.71        442.92        476.29        431.94
13        418.1        436.12        476.29        418.1
14        407.77        418.9        476.29        407.77
15        397.66        418.9        476.29        397.66
16        387.69        412.26        476.29        387.69
17        380.89        412.26        476.29        380.89
18        374.01        412.26        476.29        374.01
19        367.26        412.26        476.29        367.26
20        360.62        360.62        476.29        360.62
