cost        CG2        HBCS        ScaleStar        OPT
1        493.86        495.21        495.21        493.86
2        341.71        343.06        343.06        341.71
3        310.26        315.65        328.04        310.26
4        271.8        277.18        290.43        271.8
5        250.94        251.9        251.97        234.19
6        213.33        318.83        214.35        213.33
7        200.79        231.77        201.82        200.79
8        189        298.01        189        189
9        176.46        219.09        176.46        176.46
10        170.19        181.47        176.46        170.19
11        163.78        168.94        176.46        163.78
12        159.57        159.21        176.46        158.71
13        153.54        155.45        176.46        153.54
14        149.78        150.41        176.46        149.78
15        148.79        148.24        176.46        146.45
16        144.94        147.9        176.46        142.69
17        141.18        147.9        176.46        141.03
18        138.68        147.9        176.46        138.07
19        136.11        147.49        176.46        135.96
20        133.6        133.6        176.46        133.6
