cost        CG2        HBCS        ScaleStar        OPT
1        1111.42        1147.12        1111.42        1111.42
2        785.45        1060        785.45        785.45
3        698.32        734.03        698.32        693.44
4        612.47        656.89        621.19        612.47
5        535.34        627.85        567.64        535.34
6        481.79        602.13        481.79        481.79
7        457.7        516.28        461.18        453.17
8        429.09        431.99        427.03        427.03
9        403.38        406.85        406.85        403.38
10        389.19        392.54        398.42        388.85
11        374.67        383.95        398.42        374.67
12        360.36        378.23        398.42        360.36
13        347.51        363.06        398.42        347.51
14        341.33        361.37        398.42        339.8
15        332.74        358.89        398.42        331.08
16        326.05        358.89        398.42        323.54
17        318.33        346.04        398.42        318.33
18        312.52        346.04        398.42        312.52
19        307.79        346.04        398.42        307.38
20        301.66        301.66        398.42        301.66
