cost        CG2        HBCS        ScaleStar        OPT
1        928.65        1056.15        953.92        928.65
2        705.53        881.89        705.53        705.53
3        631.35        881.89        624.56        624.56
4        527.44        756.52        550.39        527.44
5        455.4        728.26        539.78        455.4
6        429.7        520.44        435.86        420.76
7        401.22        520.44        420.78        396.75
8        372.96        416.52        392.51        372.96
9        364.57        366.8        392.51        350.33
10        345.87        357.88        357.88        336.09
11        333.01        340.56        357.88        321.96
12        318.88        330.16        357.88        311.74
13        314.42        323.24        357.88        301.35
14        304.03        323.24        357.88        293.81
15        295.55        323.24        357.88        288.11
16        289.9        323.24        357.88        283.54
17        285.33        323.24        357.88        277.89
18        279.63        309.11        357.88        272.75
19        273.98        309.11        357.88        270.96
20        270.96        270.96        357.88        270.96
