cost        CG2        HBCS        ScaleStar        OPT
1        1128.45        1223.22        1156.08        1094.88
2        816.5        1071.29        816.5        816.5
3        728.31        731.71        731.71        728.31
4        646.71        643.52        643.52        643.52
5        561.93        708.48        561.93        561.93
6        505.68        626.88        505.68        505.68
7        476.29        505.33        486.49        471.83
8        449.09        486.13        457.09        449.09
9        423.23        472.53        429.89        423.23
10        404.57        416.29        414.17        401.77
11        389.87        392.7        414.17        388.17
12        376.27        384.84        414.17        376.27
13        363.88        376.68        414.17        363.88
14        355.06        376.68        414.17        355.06
15        346.9        361.98        414.17        346.58
16        341.02        361.98        414.17        338.42
17        331.89        361.98        414.17        330.98
18        326.01        361.98        414.17        325.12
19        320.57        361.98        414.17        319.46
20        313.58        313.58        414.17        313.58
