cost        CG2        HBCS        ScaleStar        OPT
1        848.98        997.94        938.65        848.98
2        652.62        890.94        652.62        652.62
3        567.41        724.88        606.94        567.41
4        509.61        554.45        554.45        496.65
5        457.12        469.24        469.24        444.66
6        411.44        440.83        411.44        392.17
7        383.03        423.34        396.21        363.77
8        348.54        524.74        359.45        348.54
9        331.04        393.91        350.31        331.04
10        321.41        336.11        331.04        316.84
11        307.21        307.21        331.04        305.05
12        298.46        301.43        331.04        290.84
13        290.84        297.57        331.04        285.06
14        282.32        297.57        331.04        275.25
15        276.54        297.57        331.04        270.86
16        270.86        289.05        331.04        263.23
17        263.68        289.05        331.04        257.54
18        261.04        289.05        331.04        253.69
19        253.69        289.05        331.04        250.65
20        250.65        250.65        331.04        250.65
