cost        CG2        HBCS        ScaleStar        OPT
1        768.58        768.58        768.58        767.72
2        561.6        561.6        561.6        559.05
3        499.55        601.76        525.26        489.35
4        436.22        643.91        459.81        426.03
5        366.53        496.86        392.66        358.88
6        355.26        427.16        356.32        341.98
7        325.8        403.93        325.8        314.53
8        309.43        336.35        323.25        298.74
9        286.71        300.01        300.01        283.12
10        280.57        288.4        288.75        271.5
11        269.66        271.5        288.75        260.59
12        258.55        268.12        288.75        252.41
13        252.41        265.87        288.75        245.04
14        245.44        265.87        288.75        239.11
15        239.11        249.33        288.75        232.14
16        232.65        249.33        288.75        227.49
17        230.4        249.33        288.75        224.55
18        227.49        249.33        288.75        219.9
19        223.27        242.36        288.75        218.63
20        218.63        218.63        288.75        218.63
