cost        CG2        HBCS        ScaleStar        OPT
1        522.78        522.78        526.9        522.78
2        360.42        486.31        364.55        360.42
3        324.09        323.96        323.96        323.96
4        283.38        313.04        306.68        283.38
5        242.91        242.79        242.79        242.79
6        225.5        231.86        225.5        222.02
7        215.06        213.5        215.66        211.98
8        198.45        212.81        215.66        198.45
9        184.92        186.44        188.6        184.92
10        179.99        181.43        188.6        177.83
11        174.88        172.91        188.6        171.39
12        166.46        173.31        188.6        164.3
13        161.17        164.79        188.6        159.51
14        158.21        185.75        188.6        156.19
15        154.34        182.07        188.6        151.39
16        150.1        155.7        188.6        148.32
17        147.39        155.7        188.6        146.16
18        145.42        154.4        188.6        143.58
19        141.98        153.54        188.6        140.87
20        140.01        140.01        188.6        140.01
