cost        CG2        HBCS        ScaleStar        OPT
1        941.85        1038.35        1046.85        939.72
2        710.25        945.28        710.25        710.25
3        625.68        788.45        625.68        624.61
4        540.04        547.03        614.34        540.04
5        458.55        516        535.93        458.55
6        447.46        652.88        450.29        430.01
7        416.43        652.88        419.27        401.82
8        387.89        481.6        419.27        387.54
9        361.75        395.96        393.13        361.75
10        361.75        367.42        364.58        346.24
11        346.24        350.31        364.58        331.96
12        331.96        341.75        364.58        318.9
13        319.46        336.04        364.58        309.59
14        310.16        336.04        364.58        301.02
15        301.02        336.04        364.58        294.82
16        293.18        322.97        364.58        289.11
17        293.18        322.97        364.58        283.66
18        286.98        322.97        364.58        278.88
19        281.27        322.97        364.58        276.04
20        276.04        276.04        364.58        276.04
