cost        CG2        HBCS        ScaleStar        OPT
1        844.22        846.84        846.84        844.22
2        580.36        794.14        580.36        577.74
3        519.16        632.42        519.16        504.08
4        447.76        614.86        501.45        435.01
5        429.77        561.52        432.39        370.84
6        366.12        538.5        368.22        349.45
7        340.69        386.56        345.41        331.88
8        318.46        319.77        319.77        317.15
9        297.06        319.77        319.77        295.75
10        295.75        298.38        298.38        283.04
11        283.04        281.26        298.38        272.05
12        271.53        276.98        298.38        261.36
13        260.83        276.98        298.38        254.42
14        254.52        276.98        298.38        247.31
15        247.31        265.47        298.38        240.4
16        246.3        265.47        298.38        235.8
17        239.88        265.47        298.38        231.52
18        234.8        265.47        298.38        228.53
19        230.19        264.16        298.38        225.91
20        225.91        225.91        298.38        225.91
