cost        CG2        HBCS        ScaleStar        OPT
1        1097.7        1097.7        1097.7        1094.72
2        767.05        1053.5        767.05        767.05
3        673.55        722.85        673.55        673.55
4        636.58        640.19        640.68        590.89
5        553.91        609.02        558.02        508.22
6        475.36        581.47        475.36        471.25
7        444.19        498.8        452.41        443.7
8        416.64        424.85        424.85        416.14
9        389.08        397.3        397.3        389.08
10        382.51        383.52        389.08        373.5
11        366.93        375.26        389.08        359.72
12        353.15        360.47        389.08        345.95
13        341.84        358.82        389.08        337.68
14        332.49        345.05        389.08        329.41
15        324.22        345.05        389.08        321.2
16        315.96        339.54        389.08        313.49
17        311.85        339.54        389.08        307.26
18        305.61        339.54        389.08        301.75
19        300.1        339.54        389.08        296.24
20        294.59        294.59        389.08        294.59
