cost        CG2        HBCS        ScaleStar        OPT
1        1259        1366.31        1285.35        1229.68
2        909.65        1193.98        909.65        909.65
3        806.59        967.45        818.28        806.59
4        721.8        882.66        750.35        709.47
5        630.42        854.4        665.56        630.42
6        562.5        648.28        562.5        562.5
7        528.14        526.23        543.02        526.23
8        499.88        506.75        495.77        495.77
9        472.4        472.4        495.77        472.4
10        451.68        461.42        461.42        451.68
11        434.5        444.24        461.42        432.06
12        420.37        433.93        461.42        419.27
13        405.39        419.8        461.42        405.03
14        395.08        412.93        461.42        393.62
15        383.31        412.93        461.42        383.31
16        379.73        412.93        461.42        375.06
17        367.87        412.93        461.42        367.87
18        361        412.93        461.42        361
19        355.35        412.93        461.42        355.35
20        349.36        349.36        461.42        349.36
